FERIEN IM SCHULJAHR 2021/2022,,,,,,,,,,,,,,,,
in den Ländern in der Bundesrepublik Deutschland 1,,,,,,,,,,,,,,,,
http://www.kmk.org/ferienkalender.html,,,,,,,,,,,,,,,,
Land*,,,"Herbst
2021","Weihnachten
2021/2022","Winter
2022",,,"Ostern/Frühjahr
2022",,"Himmelfahrt/Pfingsten
2022",,,"Sommer
2022",,,
Baden-Württemberg (4),,,"31.10.
02.11. – 06.11.",23.12. – 08.01.,--,,,"14.04.
19.04. – 23.04.",,07.06. – 18.06.,,,28.07. – 10.09.,,,
Bayern,,,02.11. – 05.11.,24.12. – 08.01.,--,,,"28.02. – 04.03.
11.04. – 23.04.",,07.06. – 18.06.,,,01.08. – 12.09.,,,
Berlin,,,11.10. – 23.10.,24.12. – 31.12.,29.01. – 05.02.,,,"07.03.
11.04. – 23.04.",,"27.05.
07.06.",,,07.07. – 19.08.,,,
Brandenburg (1),,,11.10. – 23.10.,23.12. – 31.12.,31.01. – 05.02.,,,11.04. – 23.04.,,--,,,07.07. – 20.08.,,,
Bremen,,,18.10. – 30.10.,23.12. – 08.01.,31.01. – 01.02.,,,04.04. – 19.04.,,27.05./07.06.,,,14.07. – 24.08.,,,
Hamburg,,,04.10. – 15.10.,23.12. – 04.01.,28.01.,,,07.03. – 18.03.,,23.05. – 27.05.,,,07.07. – 17.08.,,,
Hessen (5),,,11.10. – 23.10.,23.12. – 08.01.,--,,,11.04. – 23.04.,,--,,,25.07. – 02.09.,,,
Mecklenburg-Vorpommern,,,"02.10. – 09.10.
01.11. – 02.11.",22.12. – 31.12.,"05.02. – 17.02.
18.02.",,,11.04. – 20.04.,,"27.05.
03.06. – 07.06.",,,04.07. - 13.08.,,,
Niedersachsen,,,18.10. – 29.10.,23.12. – 07.01.,31.01. – 01.02.,,,04.04. – 19.04.,,27.05./07.06.,,,14.07. – 24.08.,,,
Nordrhein-Westfalen (3),,,11.10. – 23.10.,24.12. – 08.01.,--,,,11.04. – 23.04.,,--,,,27.06. – 09.08.,,,
Rheinland-Pfalz (6),,,11.10. – 22.10.,23.12. – 31.12.,21.02. – 25.02.,,,13.04. – 22.04.,,--,,,25.07. – 02.09.,,,
Saarland (1),,,18.10. - 29.10.,23.12. – 03.01.,21.02. – 01.03.,,,14.04. – 22.04.,,07.06. – 10.06.,,,25.07. – 02.09.,,,
Sachsen (1),,,18.10. – 30.10.,23.12. – 01.01.,12.02. – 26.02.,,,15.04. – 23.04.,,27.05.,,,18.07. – 26.08.,,,
Sachsen-Anhalt (3),,,25.10. – 30.10.,22.12. – 08.01.,12.02. – 19.02.,,,11.04. – 16.04.,,23.05. – 28.05.,,,14.07. – 24.08.,,,
Schleswig-Holstein (3),,2,04.10. – 16.10.,23.12. – 08.01.,--,,,04.04. – 16.04.,,27.05. – 28.05.,,,04.07. – 13.08.,,,
Thüringen (2),,,25.10. – 06.11.,23.12. – 31.12.,12.02. – 19.02.,,,11.04. – 23.04.,,27.05.,,,18.07. – 27.08.,,,
*in Klammern ist die Zahl der beweglichen Ferientage angegeben.,,,,,,,,,,,,,,,,
Stand: 16.01.2020,,,,,,,,,,,,,,,,
1,Angegeben ist jeweils der erste und letzte Ferientag.,,,,,,,,,,,,,,,
,-,"Während die Kultusministerkonferenz die Sommerferien langfristig vereinbart, werden die übrigen Ferientermine von den Ländern",,,,,,,,,selbst bestimmt. Die Länder übermitteln ihre,,,,,
,,"Ferientermine dem Sekretariat der Kultusministerkonferenz,",,das,sie,als,Übersicht,veröffentlicht.,Konkrete,Nachfragen,bezüglich,der,Ferienregelungen,sind,bei,den
,,Schulverwaltungen der Länder zu stellen.,,,,,,,,,,,,,,
,-,Schul- und unterrichtsfreie Tage sind kursiv gekennzeichnet.,,,,,,,,,,,,,,
,-,Die Veröffentlichung erfolgt fortlaufend.,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
,"SH - Auf den Inseln Sylt, Föhr, Amrum und Helgoland sowie auf den Halligen gelten für die Sommer- und Herbstferien Sonderregelungen.",,,,,,,,,,,,,,,
Sekretariat der Kultusministerkonferenz,,,,,,,,,,,,,,,,
Taubenstraße 10 · 10117 Berlin Postfach 11 03 42 · 10833 Berlin Tel.: 030 25418-499,,,,,,,,Graurheindorfer Straße 157 · 53117 Bonn,,,Postfach 22 40 · 53012 Bonn,,,Tel.: 0228 501-0,,
