Baden-Wuerttemberg,herbst,2022,22/23,31.10.,31.10.,Erster Teil
Baden-Wuerttemberg,herbst,2022,22/23,02.11.,04.11.,Zweiter Teil
Bayern,herbst,2022,22/23,31.10.,04.11.,
Berlin,herbst,2022,22/23,24.10.,05.11.,
Brandenburg,herbst,2022,22/23,24.10.,05.11.,
Bremen,herbst,2022,22/23,17.10.,29.10.,
Hamburg,herbst,2022,22/23,10.10.,21.10.,
Hessen,herbst,2022,22/23,24.10.,29.10.,
Mecklenburg-Vorpommern,herbst,2022,22/23,10.10.,14.10.,Erster Teil
Mecklenburg-Vorpommern,herbst,2022,22/23,01.11.,02.11.,Zweiter Teil
Niedersachsen,herbst,2022,22/23,17.10.,28.10.,
Nordrhein-Westfalen,herbst,2022,22/23,04.10.,15.10.,
Rheinland-Pfalz,herbst,2022,22/23,17.10.,31.10.,
Saarland,herbst,2022,22/23,24.10.,04.11.,
Sachsen,herbst,2022,22/23,17.10.,29.10.,
Sachsen-Anhalt,herbst,2022,22/23,24.10.,04.11.,
Schleswig-Holstein,herbst,2022,22/23,10.10.,21.10.,
Thueringen,herbst,2022,22/23,17.10.,29.10.,
,,,,,,
,,,,,,
Baden-Wuerttemberg,weihnachten,2022,22/23,21.12.,07.01.,
Bayern,weihnachten,2022,22/23,24.12.,07.01.,
Berlin,weihnachten,2022,22/23,22.12.,02.01.,
Brandenburg,weihnachten,2022,22/23,22.12.,03.01.,
Bremen,weihnachten,2022,22/23,23.12.,06.01.,
Hamburg,weihnachten,2022,22/23,23.12.,06.01.,
Hessen,weihnachten,2022,22/23,22.12.,07.01.,
Mecklenburg-Vorpommern,weihnachten,2022,22/23,22.12.,02.01.,
Niedersachsen,weihnachten,2022,22/23,23.12.,06.01.,
Nordrhein-Westfalen,weihnachten,2022,22/23,23.12.,06.01.,
Rheinland-Pfalz,weihnachten,2022,22/23,23.12.,02.01.,
Saarland,weihnachten,2022,22/23,22.12.,04.01.,
Sachsen,weihnachten,2022,22/23,22.12.,02.01.,
Sachsen-Anhalt,weihnachten,2022,22/23,21.12.,05.01.,
Schleswig-Holstein,weihnachten,2022,22/23,23.12.,07.01.,
Thueringen,weihnachten,2022,22/23,22.12.,03.01.,
,,,,,,
,,,,,,
Berlin,winter,2023,22/23,30.01.,04.02.,
Brandenburg,winter,2023,22/23,30.01.,03.02.,
Bremen,winter,2023,22/23,30.01.,31.01.,
Hamburg,winter,2023,22/23,27.01.,27.01.,
Mecklenburg-Vorpommern,winter,2023,22/23,06.02.,18.02.,
Niedersachsen,winter,2023,22/23,30.01.,31.01.,
Saarland,winter,2023,22/23,20.02.,24.02.,
Sachsen,winter,2023,22/23,13.02.,24.02.,
Sachsen-Anhalt,winter,2023,22/23,06.02.,11.02.,
Thueringen,winter,2023,22/23,13.02.,17.02.,
,,,,,,
,,,,,,
Baden-Wuerttemberg,ostern_fruehjahr,2023,22/23,06.04.,06.04.,Erster Teil
Baden-Wuerttemberg,ostern_fruehjahr,2023,22/23,11.04.,15.04.,Zweiter Teil
Bayern,ostern_fruehjahr,2023,22/23,20.02.,24.02.,Erster Teil
Bayern,ostern_fruehjahr,2023,22/23,03.04.,15.04.,Zweiter Teil
Berlin,ostern_fruehjahr,2023,22/23,03.04.,14.04.,
Brandenburg,ostern_fruehjahr,2023,22/23,03.04.,14.04.,
Bremen,ostern_fruehjahr,2023,22/23,27.03.,11.04.,
Hamburg,ostern_fruehjahr,2023,22/23,06.03.,17.03.,
Hessen,ostern_fruehjahr,2023,22/23,03.04.,22.04.,
Mecklenburg-Vorpommern,ostern_fruehjahr,2023,22/23,03.04.,12.04.,
Niedersachsen,ostern_fruehjahr,2023,22/23,27.03.,11.04.,
Nordrhein-Westfalen,ostern_fruehjahr,2023,22/23,03.04.,15.04.,
Rheinland-Pfalz,ostern_fruehjahr,2023,22/23,03.04.,06.04.,
Saarland,ostern_fruehjahr,2023,22/23,03.04.,12.04.,
Sachsen,ostern_fruehjahr,2023,22/23,07.04.,15.04.,
Sachsen-Anhalt,ostern_fruehjahr,2023,22/23,03.04.,08.04.,
Schleswig-Holstein,ostern_fruehjahr,2023,22/23,06.04.,22.04.,
Thueringen,ostern_fruehjahr,2023,22/23,03.04.,15.04.,
,,,,,,
,,,,,,
Baden-Wuerttemberg,himmelfahrt_pfingsten,2023,22/23,30.05.,09.06.,
Bayern,himmelfahrt_pfingsten,2023,22/23,30.05.,09.06.,
Berlin,himmelfahrt_pfingsten,2023,22/23,30.05.,30.05.,
Bremen,himmelfahrt_pfingsten,2023,22/23,19.05.,19.05.,Erster Teil
Bremen,himmelfahrt_pfingsten,2023,22/23,30.05.,30.05.,Zweiter Teil
Hamburg,himmelfahrt_pfingsten,2023,22/23,15.05.,19.05.,
Mecklenburg-Vorpommern,himmelfahrt_pfingsten,2023,22/23,19.05.,19.05.,Erster Teil
Mecklenburg-Vorpommern,himmelfahrt_pfingsten,2023,22/23,26.05.,30.05.,Zweiter Teil
Niedersachsen,himmelfahrt_pfingsten,2023,22/23,19.05.,19.05.,Erster Teil
Niedersachsen,himmelfahrt_pfingsten,2023,22/23,30.05.,30.05.,Zweiter Teil
Nordrhein-Westfalen,himmelfahrt_pfingsten,2023,22/23,30.05.,30.05.,
Rheinland-Pfalz,himmelfahrt_pfingsten,2023,22/23,30.05.,07.06.,
Saarland,himmelfahrt_pfingsten,2023,22/23,30.05.,02.06.,
Sachsen,himmelfahrt_pfingsten,2023,22/23,19.05.,19.05.,
Sachsen-Anhalt,himmelfahrt_pfingsten,2023,22/23,15.05.,19.05.,
Schleswig-Holstein,himmelfahrt_pfingsten,2023,22/23,19.05.,20.05.,
Thueringen,himmelfahrt_pfingsten,2023,22/23,19.05.,19.05.,
,,,,,,
,,,,,,
Baden-Wuerttemberg,sommer,2023,22/23,27.07.,09.09.,
Bayern,sommer,2023,22/23,31.07.,11.09.,
Berlin,sommer,2023,22/23,13.07.,25.08.,
Brandenburg,sommer,2023,22/23,13.07.,26.08.,
Bremen,sommer,2023,22/23,06.07.,16.08.,
Hamburg,sommer,2023,22/23,13.07.,23.08.,
Hessen,sommer,2023,22/23,24.07.,01.09.,
Mecklenburg-Vorpommern,sommer,2023,22/23,17.07.,26.08.,
Niedersachsen,sommer,2023,22/23,06.07.,16.08.,
Nordrhein-Westfalen,sommer,2023,22/23,22.06.,04.08.,
Rheinland-Pfalz,sommer,2023,22/23,24.07.,01.09.,
Saarland,sommer,2023,22/23,24.07.,01.09.,
Sachsen,sommer,2023,22/23,10.07.,18.08.,
Sachsen-Anhalt,sommer,2023,22/23,06.07.,16.08.,
Schleswig-Holstein,sommer,2023,22/23,17.07.,26.08.,
Thueringen,sommer,2023,22/23,10.07.,19.08.,
